UUID,Soubory,Typ,Původní/jiné označení -  Archivní jednotka,Původní/jiné označení -  Inventární číslo,Původní/jiné označení -  Bod schůze,Původní/jiné označení -  Signatura,Ukládací jednotka - typ,Ukládací jednotka - hodnota,Obsah
fda763113f49402cb9854c7a1f541065,,složka,241,,3,,svazek,177,Zásady pro odstranění bytové tísně v ČSR během 10. let
e3834a1eff12425081f85978f0208d61,,složka,241,,4,,svazek,177,Zajištění celostátní porady o investiční výstavbě
b04e851c1675479aabad0429b3280613,,složka,241,,5,,svazek,177,Podnikové fondy pracujících
79dfa08149a54881b0e0974635d33b14,,složka,241,,7,,svazek,177,Zavedení pokusných dvanáctiletých středních škol
e704dc0551fe4687b72e6ea6f71833eb,,složka,241,,8,,svazek,177,Finanční a hmotné zabezpečení učňů
5204a7eea81b4be38fdca517c8eddd92,,složka,241,,10,,svazek,177,Změna usnesení Politického byra Ústředního výboru KSČ o účasti na Světové výstavě v Bruselu 1958
4347b9c4b57b490e95e1714c02fb2983,,složka,241,,11,,svazek,177,"Zásady činnosti a organizace Ministerstva národní obrany, velitelství armád a 2. vojenského okruhu"
a691a5acdf6d430a945f57a60065f2e0,,složka,241,,12,,svazek,177,Výsledky prověrky politické a třídní spolehlivosti pracovníků ministerstev a ústředních úřadů
3c886d03769f43db8daa5b4a99ad3b90,,složka,241,,13,,svazek,177,Časový rozvrh jednání XI. sjezdu KSČ
e923a8751e0e4699aa9598419fd6f97f,,složka,241,,14,,svazek,177,"Články pro časopis ""Otázky míru a socialismu"""
be9e4a942a454b0dae2ddfcbd2bf4b0e,,složka,241,,15,,svazek,177,Úprava další spolupráce československého úřadů a orgánů se společnostmi přátel ČSR v zahraničí
fa196bf0e0c94921b469e3ed568ab85a,,složka,241,,16,,svazek,177,Postup ve věci odsouzených zaměstnanců belgického vyslanectví v Praze
63e44c8ecc004db89acb7fb38e8171c4,,složka,241,,17,,svazek,177,Zpráva o VII. sjezdu Svazu komunistů Jugoslávie
8de79d991d1f4c1bb5143301e508e024,,složka,241,,18,,svazek,177,Jednání mezi delegacemi Ministerstva vnitra ČSR a pohraničních vojsk Výboru pro státní bezpečnost při Radě ministrů SSSR
f59d6458510b47bcadfb295c829010ac,,složka,241,,19,,svazek,177,Jednání mezi delegacemi Ministerstva vnitra ČSR a PLR
700120fc79504074a957832dcddb4b69,,složka,241,,20,,svazek,177,Konzultace otázek civilní obrany v SSSR
94e6427f833e4e989983b37dc3db393f,,složka,241,,22,,svazek,177,Porada komunistických a dělnických stran k otázkám evropské bezpečnosti
579df1d5b1d845ffa89172ad01e48851,,složka,241,,23,,svazek,177,Hodnocení dosavadních výsledků nové organizace řízení průmyslu a stavebnictví
21c87a2124344b33aaac3719fa4952c9,,složka,241,,24,,svazek,177,"Zásady k prohloubení vnitropodnikového chozrasčotu v podmínkách nové soustavy řízení, plánování a financování"
07c8f1c339c34602b1f08f410e3b95ad,,složka,241,,25,,svazek,177,Statut technickoekonomických rad
a5ef3237310a44b78ff4adc6ef92d6a3,,složka,241,,26,,svazek,177,Dopis Ústředního výboru SED bratrským komunistickým stranám
a94936de9cc247659b12b07ac4b70905,,složka,241,,27,,svazek,177,Změna usnesení Politického byra Ústředního výboru KSČ o svolání pléna Ústředního výboru KSČ
b6b15a26a4b64f16b6340ed42f205422,,složka,241,,28,,svazek,177,Návštěva delegace polského Sejmu v ČSR (ústně)
371015e8be724a7e9758dfe067427ee9,,série,,,,,,,K informaci
